,title,link,content
2314,"현대차 노조, 미국시장 8조원 투자 '반대'",https://www.sedaily.com/NewsView/22ME9IEDEO,"앞서, 현대차그룹은 미국 현지에서 전기차 생산에 나서는 등 올해부터 2025년까지 5년간 미국에 약 8조원 규모 대규모 투자를 단행한다고 밝혔다. 미국 바이든 행정부가 추진하는 그린뉴딜 및 바이 아메리칸 전략과 이와..."
2315,'차량용 반도체 보릿고개'에...현대차·기아 잇따라 휴업,https://www.ytn.co.kr/_ln/0102_202105141705580134,"세계적인 차량용 반도체 수급난으로 현대차와 기아 공장이 잇따라 휴업에 들어갑니다. 먼저 현대차는 오는 17일과 18일, 투싼과 수소전기차 넥쏘를 생산하는 울산 5공장 2라인 가동을 중단하기로 했습니다. 기아도 같은..."
2316,"현대차, 2학기 미래 자동차 학교 모집",http://www.thedrive.co.kr/news/newsview.php?ncode=1065572037706595,현대자동차가 24일(월)부터 6월 18일(금)까지 중학교 자유학기제 특화 진로교육 및 초등학교 창의적 체험활동 프로그램 ‘미래 자동차 학교’ 2021년 2학기 참여 학교를 모집한다고 밝혔다. ‘미래 자동차 학교’는...
2317,차량용 반도체 품귀에...현대차 아산공산 또 휴업,https://www.sedaily.com/NewsView/22L3UBX6KG,현대차가 차량용 반도체 수급 차질로 또다시 아산공장 문을 닫는다. 현대차는 오는 19~20일 이틀간 아산공장을 휴업한다고 16일 밝혔다. 이번 휴업은 공장 전체가 아닌 쏘나타와 그랜저 생산 라인으로 제한된다. 자동차...
2318,현대차 '아이오닉5' 올 가을 美출시…24일 온라인 쇼케이스,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202105130152&t=NN,"현대차 미국판매법인(HMA)은 오는 24일(현지시간) 온라인 가상 쇼케이스를 통해 아이오닉 5를 북미 시장에 공개한다고 13일 밝혔다. 쇼케이스에는 호세 무뇨스 현대차 글로벌 최고운영책임자(COO), 올라비시 보일 현대차..."
2319,"현대차·기아, 서울시립미술관·분당서울대병원과 자율주행 휠체어 실증 MOU 체결",http://www.wsobi.com/news/articleView.html?idxno=123346,"현대차ㆍ기아와 서울시립미술관, 분당서울대학교병원은 지난 27일 현대차그룹의 창의인재 플랫폼 '제로원'(ZER01NE, 서울 서초구 소재)에서 업무협약(MOU)을 체결하고 '자율주행 휠체어' 개발 및 실증을 위해 협력하기로 했다...."
2320,가속 페달 밟던 현대차 '브레이크'…반도체 수급난에 노조 리스크까지,https://ilyo.co.kr/?ac=article_view&entry_id=401674,1분기 '어닝 서프라이즈'(깜짝 실적)를 기록하며 미래차 전환에 가속 페달을 밟아 오던 현대차에 빨간불이... 19일 자동차 업계에 따르면 현대차는 이달 들어 현대차는 에어백 관련 반도체 공급 불안정으로 17~18일 투싼과...
2321,"현대차 ""모빌리티 인재 확보""...R&D 전 부문 경력 채용",http://www.fnnews.com/news/202104120839302143,이번 경력 채용은 현대차 채용 홈페이지에서 진행하며 모집 분야는 총 11개 분야로 △차량개발... 현대차는 가속화하고 있는 자동차 산업의 변화 속에서 연구개발 부문의 우수 인재를 공격적으로 채용함으로써 미래...
2322,현대차 신형 엑시언트 수소전기트럭 출시…연내 140대 스위스로,http://www.iusm.co.kr/news/articleView.html?idxno=911519,"엑시언트 수소전기트럭은 현대차가 세계 최초로 양산한 대형 수소전기트럭이다. 지난해 7월 10대를... 현대차는 이미 인도한 물량을 포함해 2025년까지 총 1,600대의 수소전기트럭을 스위스로 공급할 계획이며, 다른..."
2323,"현대차 사무·연구직 노조, 임단협 이전 정의선 회장에 상견례 요청",http://www.thepowernews.co.kr/view.php?ud=202105211109198467a517a52c2_7,정의선 현대차그룹 회장에게 상견례를 요청한 것으로 전해졌다. 21일 자동차업계 및 노조 등에 따르면 현대차그룹 인재존중 사무·연구직 노동조합(이하 ‘사무·연구직 노조’)은 하루 전인 지난 20일 정의선 회장에게...
2324,"현대차, 비대면 전기차 충전 대행 서비스 '픽업앤충전' 출시",http://www.etnews.com/20210510000014,"현대차는 아이오닉5, 코나 일렉트릭, 아이오닉 일렉트릭(17MY 이후 DC콤보 타입 차량)을 대상으로 픽업앤충전 서비스를 시작한다고 10일 밝혔다. 현대차는 충전하러 갈 시간이 없거나 주변에 충전기가 없어 어려움을 겪는..."
2325,"‘반도체 부족’에… 현대차, 울산 이어 아산공장도 가동 중단",http://news.kmib.co.kr/article/view.asp?arcid=0015725759&code=61141111&cp=nv,글로벌 차량용 반도체 부족 사태가 길어지면서 현대차가 쏘나타와 그랜저를 생산하는 아산공장의 가동을... 현대차는 오는 12∼13일 아산공장의 가동을 중단한다고 9일 밝혔다. 파워트레인 컨트롤 유닛(PCU) 부품의...
2326,"현대차, 글로벌·아세안 인턴십 진행…결과 따라 정규직 채용",http://theviewers.co.kr/View.aspx?No=1633953,kr 현대자동차가 국내외 인재들에게 다양한 직무 탐색 경험의 기회를 제공한다.현대차는 오는 30일까지... 글로벌 인턴십과 아세안 인턴십에 선발된 인원은 각 소속에 따라 ▲현대차 신기술 및 미래 모빌리티 체험...
2327,"현대차, 콩고에 대형 SUV 팰리세이드 500대 수출",http://www.thedrive.co.kr/news/newsview.php?ncode=1065571039870208,"팰리세이드 500대 공급은 현대차가 처음으로 중부 아프리카 국가의 정부와 맺은 대규모 계약으로, 연초 현대차의 DR콩고 수출 목표의 5배, 지난해 판매 실적의 10배를 넘는 규모다. 아프리카 지역은 아직 민간 주도의..."
2328,"현대차, 이층 전기버스 1호차 인천시에 전달",http://www.newsis.com/view/?id=NISX20210421_0001414875&cID=13001&pID=13000,"현대차는 21일 인천선진교통 충전차고지에서 이층 전기버스 1호차 전달식을 가졌다. 인천시는 26일부터... 전기버스는 현대차가 지난 2019년에 최초로 공개한 차량으로 전장 12,990mm, 전고 3,995mm, 전폭 2,490mm의..."
2329,"현대차, 제주도 손잡고 '전기차 배터리 전력' 건물 공급",https://www.nocutnews.co.kr/news/5549122,"현대차와 기아가 전기차를 전력망과 연결해 배터리 전력을 활용하는 기술인 'V2G(Vehicle To Grid)' 상용화 시대 구축에 나선다. 현대차와 기아, 현대캐피탈은 7일 제주특별자치도와 함께 '제주특별자치도 업무용 차량 V2G..."
2330,"현대차, 2021 글로벌·아세안 인턴 모집…""우수 연구인력 확보""",http://www.ajunews.com/view/20210517134758626,"현대차는 신사업 미래기술 분야의 우수 연구인력을 확보하고 아세안 시장과 고객에 대한 이해도가 높은... 선발된 인원은 7월부터 약 2개월간 국내 사업장에서 인턴사원으로 근무하며, 현대차 신기술 및 미래 모빌리티..."
2331,"코스피 시총 상위 10종목 초반 약세, 현대차 삼성바이오로직스는 올라",https://www.businesspost.co.kr/BP?command=article_view&num=232758,"반면 삼성바이오로직스 주가는 0.46%(4천 원) 오른 86만 5천 원에, 현대차 주가는 1.54%(3500원) 상승한 23만1천 원에 각각 사고팔리고 있다. 기아차(0.24%) 주가도 오르고 있다. 카카오 주가는 직전 거래일과..."
2332,반도체 부족에 현대차·기아 일부 공장 생산중단,http://news.tvchosun.com/site/data/html_dir/2021/05/17/2021051790088.html,차량용 반도체 부족 사태가 장기화하면서 현대차와 기아가 17일 일부 공장 가동을 중단했다. 특근을 시행하지 않으며 생산량을 조절했던 기아가 반도체 부족으로 공장 문을 닫은 것은 이번이 처음이다. 17~18일 현대차...
2333,"현대차, 수년간 판매 부진 ‘중국 1호 공장’ 매각 작업",http://www.viva100.com/main/view.php?key=20210528010006141,"현대차, 수년간 판매 부진 ‘중국 1호 공장’ 매각 작업 현대차가 2019년부터 가동을 중단한 ‘중국 1호 공장’ 매각 작업을 진행 중이다.28일 업계에 따르면 현대차는 베이징 1공장이 소재한 베이징 순이구 정부에..."
2334,현대차 '현대 블루 프라이즈 디자인' 수상자에 심소미 큐레이터,http://yna.kr/AKR20210427085600003?did=1195m,현대차는 27일 현대모터스튜디오 부산에서 시상식을 열고 큐레이터 심소미 씨를 최종 수상자로 선정했다고... 현대차는 최종 수상자에게 현대모터스튜디오 부산 전시 기회와 함께 1천500만원의 상금을 수여한다. 또...
2335,"현대차, 21년형 엑시언트 수소전기트럭 출시…연내 140대 스위스行",http://www.koreastocknews.com/news/articleView.html?idxno=63493,현대자동차가 21년형 엑시언트 수소전기트럭을 출시했다. 25일 현대자동차에 따르면 이번에 출시된 기존 엑시언트 수소전기트럭에 신규 그릴을 적용하고 샤시 라인업을 추가한 것이 특징이다. 특히 엑시언트...
2336,제시카 알바가 소개하는 현대차-UNDP '지속가능한 미래' 솔루션은,https://www.news1.kr/articles/?4298179,'for Tomorrow'는 현대차와 유엔개발계획(UNDP)이 지난해 9월 업무 협약을 체결하고 함께 진행하는 프로젝트다.... 현대차와 UNDP는 지난해 10월부터 '포용적이고 안전하며 회복력 있는 지속가능한 도시 조성'에 대한 솔루션을...
2337,"현대차, 콩고민주공화국에 팰리세이드 500대 수출..250대 선적",http://www.hg-times.com/news/articleView.html?idxno=228664,"팰리세이드 500대 공급은 현대차가 처음으로 중부 아프리카국가의 정부와 맺은 대규모 계약으로, 연초 현대차의 DR콩고 수출 목표(100대)의 5배, 지난해 판매 실적(45대)의 10배를 넘는 규모다. 현대차는 이번 수출이..."
2338,"현대차, 제주도 전용 전기차 웹사이트 '탐라는 전기차' 오픈",https://www.asiatoday.co.kr/view.php?key=20210526010013526,"밝혔다.현대차는 전기차와 관련해 산재돼 있는 각종 정보들을 한곳으로 모으고, 대다수의 고객들이... 현대차는 이를 통해 잠재 고객과 일반 대중들이 전기차에 대해 가지고 있는 막연한 거리감과 장벽을 없애고 친밀감과..."
2339,현대차 '아이오닉 5' 완전히 베일벗는다…오늘 세계 최초 공개,http://yna.kr/AKR20210222144200003?did=1195m,현대차는 23일 오후 4시 현대차그룹 공식 유튜브 채널 등을 통해 전세계에 아이오닉 5를 최초 공개할 예정이다. 올해를 전기차 도약 원년으로 선포한 현대차는 아이오닉 5 출시를 시작으로 본격적으로 전기차 라인업을...
2340,"현대차, 체코공장 '4회연속 국가품질상 최우수상'…유럽시장 공략",http://www.seoulwire.com/news/articleView.html?idxno=443590,"(왼쪽부터) 백철승 현대차 체코생산법인장, 마틴 클리츠닉 체코생산법인 품질부실장 사진=현대자동차 제공 현대차는 체코 산업통상부 청사에서 열린 '체코 국가 품질상' 시상식에서 현지공장이 엑셀런스 분야 산업..."
2341,현대차 투싼·넥쏘 생산 중단...반도체 보릿고개,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202105130417&t=NN,"현대차는 에어백 컨트롤 관련 반도체 재고 부족으로 울산 5공장 일부 생산라인과 3공장 생산라인이 이같이 휴업한다고 13일 밝혔다. 현대차는 이에 앞서 6∼7일 포터 생산라인이 휴업했고, 지난달에도 아이오닉 5와 코나..."
